acronym,title,score,acceptance%,submission deadline,notification,final version,location,when,link,cfp
IEEE-PSETC 2026,2026 2nd IEEE International Power and Sustainable Energy Technologies Conference,72,35,2026-10-20,,,Singapore,"Nov 13, 2026 - Nov 15, 2026",https://www.psetc.net/,"【IEEE Conference--Call for Papers】 2026 2nd International Power and Sustainable Energy Technologies Conference (PSETC 2026) *【Important Information】: Website: https://www.psetc.net/ Venue: Singapore (both online and in-person) Conference Date: November 13-15, 2026 *【Conference Introduction】: 2026 2nd International Power and Sustainable Energy Technologies Conference (PSETC 2026) will be held in Singapore during November 13-15, 2026. It is jointly organized by Newcastle University in Singapore, National University of Singapore (NUS), Nanyang Technological University (NTU), and Singapore Institute of Technology (SIT); Sponsored by IEEE, and IEEE PES Singapore. PSETC 2026 will be held at NTU Alumni House. During the upcoming conference, the invited renowned professors will share with us the recent innovations in the fields of Power and Sustainable Energy Technologies. The conference will mainly feature on keynote speeches as well as peer-reviewed paper presentations. In addition, social program or academic visit will be arranged to encourage communication, discussion or cooperation among the researchers in this field. We invite submissions of papers presenting an original high-quality research and development for the conference. All papers must be written in English and will be peer-reviewed by technical committees of the Conference and all accepted papers will be published in the conference proceedings. *【Publication and Indexing】: ★All accepted papers will be included in PSETC 2026 Conference Proceedings and published by IEEE, which will be archived in IEEE Xplore, and indexed by Ei Compendex, Scopus and CPCI (ISTP). ★PSETC 2025 Proceedings: published by IEEE (ISBN: 979-8-3315-3475-2), indexed by EI Compendex, Scopus, and CPCI (ISTP). *【Submission Methods】: 1. Online Submission System: https://cmt3.research.microsoft.com/PSETC2026 2. Submission Email: psetc2025@163.com Submission guidelines: https://www.psetc.net/Guide%20For%20Submissions.html *【Contact us】: Website: https://www.psetc.net/ Email: psetc2025@163.com Tel: +8613502461341(Wechat) QQ: 2056773349 *【Conference Speakers】: Keynote Speaker I: Prof. Mohamed Benbouzid, University of Brest, France (IEEE Fellow, IEEE PES) Keynote Speaker II: Prof. Fushuan Wen, Zhejiang University, China (IEEE Fellow, IEEE PES) Keynote Speaker III: Prof. Alessandro Romagnoli, Nanyang Technological University of Singapore, Singapore Keynote Speaker IV: Prof. Henry Hu, University of Windsor, Canada Keynote Speaker V: Assoc. Prof. Jimmy Chih-Hsien PENG, National University of Singapore, Singapore (IEEE Senior Member / IEEE PES Singapore, Excom member) Keynote Speaker VI: Assist. Prof. Dhivya Sampath Kumar, Singapore Institute of Technology, Singapore (IEEE PES Singapore, Excom member) *【Call for papers】: Track 1: Power Engineering Power and Energy Generation, Transmission, and Distribution Fault Monitoring, Predictive Maintenance, and Diagnostic Power Electronics and Power System Technology Electrical Machinery and Control Engineering Electrical Measurement Engineering and Instrumentation Electricity Networks of the Future Track 2: Sustainable Energy Technologies Solar Energy Biomass Energy Wind Energy Geothermal Energy Renewable Energy Utilizations and Applications Green Energy Systems (for more topics: https://www.psetc.net/Call%20For%20Papers.html) *【Guidelines for submission】: 1. The papers should be written in English and clearly state the title, objective, method, results, and conclusion with major keywords. 2. Papers prepared in the prescribed format are to be submitted. 3. The number of pages of the paper should be no less than 5 pages with double columns. 4. The review period is about 3-4 weeks. 5. The paper should be original work of the author(s), and no portion of the paper (including, but not limited to, graphics and figures) has been previously published. The paper is not currently under consideration for publication elsewhere. 6. Download the paper template from the official website. 7. The results will be available within 3-4 weeks after submission. If the review is fast, the results will be available within 1-2 weeks. The earlier the submission, the earlier the review and the earlier the acceptance notice. *【Types of Participation】: 1. Participation as an Author: For each accepted paper, one author is permitted to give a presentation; all co-authors can attend the conference free of charge. 2. Keynote Speaker: Applicants can apply to deliver a keynote speech, which will be subject to review by the organizing committee. 3. Oral Presentation: Each oral presenter will have 10-15 minutes for their presentation. 4. Poster Presentation: Poster presenters should prepare their posters in accordance with the poster template provided on the official website. 5. Listener: Participants who do not submit papers but only attend the conference can take part in Q&A session, and are also eligible to give oral speeches or make poster presentations."
ICERE 2027,2027 13th International Conference on Environment and Renewable Energy (ICERE 2027),90,28,2026-10-20,,,"Da Nang, Vietnam","Mar 1, 2027 - Mar 4, 2027",https://icere.org/,"Full name：2027 13th International Conference on Environment and Renewable Energy (ICERE 2027) Abbreviation：ICERE 2027 The 2027 13th International Conference on Environment and Renewable Energy (ICERE 2027) will be held during March 1-4, 2027 in Da Nang, Vietnam. Conference Website: https://icere.org/ ICERE 2027 Shining Points: 1. Papers submitted to ICERE 2027 will go through peer reviewing process by international experts. Only accepted papers will be published into conference proceedings sent to Scopus and other databases for abstracting and indexing. 2. ICERE 2026 was held successfully in Nha Trang, Vietnam. 3. All papers published in ICERE from 2015 to 2025 have been successfully published and indexed. Accepted papers of ICERE 2026 have been published in E3S Web of Conferences (Open Access proceedings in Environment, Energy and Earth Sciences) and to be indexed by Scopus soon. 4. ICERE 2027 is sponsored by Duy Tan University. 5.There are three outstanding professors who will join the conference as keynote speakers. Prof. Puthenkalam John Joseph, Sophia University, Japan；Prof. Ildoo-Chung, Pusan National University, Busan, Korea；Prof. Irene M. C. LO, Hong Kong University of Science and Technology, China Paper Publishing Papers submitted to ICERE 2027 will go through peer reviewing process by international experts. Only accepted papers will be published into conference proceedings sent to Scopus and other databases for abstracting and indexing. Call for Papers Topics of interest for submission include, but are not limited to: Track 1: Clean Energy Transition and Advanced Renewable Technologies Solar and Photovoltaic Innovations Wind and Hybrid Systems Hydrogen and Power-to-X Next-Generation Energy Storage Small Modular Reactors (SMRs) & Advanced Nuclear Track 2: AI-Powered Energy Systems, Grid Modernization, and Smart Infrastructure AI and Big Data in Energy Forecasting Grid-Forming Inverters and System Stability Smart Grids and Virtual Power Plants (VPPs) Cybersecurity in Decentralized Energy Networks Digital Twins for Renewable Assets Track 3: Climate Change Mitigation, Carbon Management, and Environmental Resilience Carbon Capture, Utilization, and Storage (CCUS) Climate-Resilient Energy Infrastructure Greenhouse Gas Accounting and Life Cycle Assessment (LCA) Air Quality and Pollution Control Ozone Layer Protection and Global Warming Mitigation Track 4: Circular Economy, Sustainable Resources, and Waste Valorization Waste-to-Energy and Bioeconomy Water Reclamation and Resource Recovery E-Waste and Critical Mineral Recycling Sustainable Materials for Environmental Remediation Ecosystem Restoration Engineering Track 5: Sustainable Urbanization and Policy Frameworks for Net-Zero Net-Zero Buildings and Passive Design Electrification of Transportation Environmental Policy and Carbon Markets Green Finance and Just Transition Remote Sensing and Geospatial Analysis General & Cross-cutting Topics Education, Public Engagement, and Capacity Building in Renewable Energy /Environmental and Energy Justice Data Management, FAIR Principles, and Open Science in Energy Research Techno-Economic Analysis (TEA) and Business Model Innovation International Collaboration and Global South Perspectives Electromagnetic Environment and Energy Infrastructure Compatibility Resilience During Crises and Extreme Events Metrology and Advanced Instrumentation Conference Program March 1 (Monday), 2027：Participants Registration & Conference Materials Collection；Keynote speeches & authors' oral presentations March 2 (Tuesday), 2027：Keynote speeches & authors' oral presentations March 3-4 (Wednesday-Thursday), 2027：Academic Events Conference Committee Conference Chairs Zoltán Pásztory, University of Sopron, Hungary Nguyen Quang Liem, Vietnam Academy of Science and Technology, Hanoi, Vietnam Local Organizing Chair Vu Dinh Tuan, Nha Trang University, Vietnam Program Chairs Woongchul Choi, Kookmin University, Korea Puthenkalam John Joseph, Sophia University, Japan Ildoo Chung, Pusan National University, Busan, Korea Hirohito Yamada, Tohoku University, Japan Program Co-Chairs Haliza Abdul Rahman, Universiti Putra Malaysia, Malaysia Doan Pham Minh, Centre Rapsodee, IMT Mines Albi, France Publication Chair Pen-Chi Chiang, National Taiwan University, Taiwan Conference Venue Duy Tan University, Da Nang, Vietnam Submission and Contact Methods Submission Methods: Electronic Submission System: https://confsys.iconf.org/submission/icere2027 E-mail: icere@ieet.ac.cn Tel: +86-18148151445 Conference Specialist: Ms. Alice Lin ICERE 2027 can provide a platform for academic communication in Environment and Renewable Energy. For more conference information, please visit the conference website:https://icere.org/index.html"
JCCME 2026,2026 5th International Joint Conference on Civil and Marine Engineering (JCCME 2026),15,30,2026-10-22,,,"Dalian, China","Nov 20, 2026 - Nov 22, 2026",https://www.jccme.org/,"⭐CONTACT US Website: https://www.jccme.org/ Date：November 20-22, 2026 Venue：Dalian, China Email: email@jccme.org Tel: +86 28 85027305 (International) Monday-Friday, 9:30am-12:00pm and 13:30pm-18:00pm ⭐Welcome to JCCME 2026 Welcome to the 2026 5th International Joint Conference on Civil and Marine Engineering (JCCME 2026), which is organized by Dalian University of Technology, and State Key Laboratory of Coastal and Offshore Engineering, and co-organized by Dalian Maritime University, and is scheduled to be held in Dalian, China on November 20-22, 2026. JCCME combines Academia with Industry to adapt scientific achievements into practical applications in the field of Civil and Marine Engineering. ⭐ Publication Information Registered and presented full papers will be included in the JCCME 2026 digital conference proceedings and submitted to major citation databases (including, but not limited to Ei Compendex and Scopus) for review and indexing. Accepted and selected extended papers can be recommended to publish in the following journal: ""International Journal of Vehicle Systems Modelling and Testing"" (ISSN: 1745-6444). ⭐Call for papers （https://www.jccme.org/cfp.html） Topics of Interest include but not limited to: 1. Maritime Sensor and Sensing Technologies Sensors Actuators and Networks Instrumentation and Control Pattern Recognition and Image Processing Structural Liability Durability and Health Monitoring 2. Coastal and Offshore Mechanics Aerodynamics Breakwaters and Coastal Protection Computational Fluid Dynamics Fluid-structure interactions Vortex Shedding & VIV Hydroelasticity Structural Mechanics 3. Mechatronic Components and Systems Under Ocean or Subsea Environment Applications in Systems and Engineering Automation Engineering Structure Safety and Disaster Prevention Fault detection and Diagnosis in Mechatronics Systems Human-Machine Interface Industrial Tribology Internal Combustion Engines 4. Maritime Related Strategy and Planning Intelligent Maritime Structures Maritime rescue and salvage technologies Ocean energy extraction Polar region technologies Extreme Event Analyses"
IEEE AEEES 2027,IEEE--2027 The 9th Asia Energy and Electrical Engineering Symposium (AEEES 2027),78,32,2026-10-30,,,"Chengdu, China","Mar 19, 2027 - Mar 22, 2027",http://www.aeees.org/,"Full name: IEEE--2027 The 9th Asia Energy and Electrical Engineering Symposium (AEEES 2027) Abbreviation: AEEES 2027 ⭐2027 The 9th Asia Energy and Electrical Engineering Symposium will take place in from . (www.aeees.org). AEEES 2027 is Co-sponsored by IEEE, PES, University of Electronic Science and Technology of China (UESTC), Chengdu University of Technology, organized by School of Mechanical and Electrical Engineering, UESTC, technically supported by Aalborg University (Denmark), University of Calgary (Canada), The University of New South Wales (Australia), Wuhan University (China),Southwest University of Science and Technology, Southwest Petroleum University, etc. ⭐Publication and Indexing: Accepted papers can be published in *AEEES Conference proceedings*, which will be included in IEEE Xplore, and submitted to* EI Compendex, Scopus*. *AEEES Publication History * * AEEES 2025 | IEEE Proceedings | ISBN: 979-8-3315-1753-3 | Online within 1 months | Successful EI Compendex and Scopus * AEEES 2024 | IEEE Proceedings | ISBN: 979-8-3503-7346-2 | Online within 1 months | Successful EI Compendex and Scopus * AEEES 2023 | IEEE Proceedings | ISBN: 978-1-6654-9053-5 | Online within 2 months | Successful EI Compendex and Scopus * AEEES 2022 | IEEE Proceedings | ISBN: 978-1-6654-7913-4 | Online within 1 month | Successful EI Compendex and Scopus * AEEES 2021 | IEEE Proceedings | ISBN: 978-1-6654-2550-6 | Online within 3 month | Successful EI Compendex and Scopus * AEEES 2020 | IEEE Proceedings | ISBN: 978-1-7281-6781-7 | Online within 2 month | Successful EI Compendex and Scopus ⭐Submission Methods: Option 1. ABSTRACTS (Presentation Only) All submitted abstracts will be peer-reviewed by our committees, and accepted one will be included in the conference program only, provided at the conference. Option 2. Full Paper (Paper Publication) All submitted papers will be reviewed by our committees, and accepted one will be published in conference proceedings. You can submit your paper through the online submission system: http://www.easychair.org/conferences/?conf=aeees2027 or by email: aeees_conference@163.com ⭐Conference Scope: Topics of interest for submission include, but are not limited to: Energy Conservation Energy Conversion Fuel Cell Technology Plasma Technology Renewable Energy Sources Solar Energy Water Energy Wind Energy Converters and Inverters Fault Diagnosis Grounding and Protection Systems HV Power Lines Network Harmonics Nuclear Energy Power Distribution Power Flow Analysis Power Quality Power System Design Power System Operation Power System Planning Power System Stability and Control Reliability and Security Power system planning, Power management, Power engineering, and Education Breakdown Impacts Please Visit: http://www.aeees.org/cfp.html for more details ⭐Call for Special Session AEEES 2027 proposals for special sessions within the technical scope of the conference. Submissions special session proposals should be e-mailed to aeees_conference@163.com before January 20, 2027. Proposals should include the following information:1. Special session title and brief introduction; 2. General information of organizers (mail address of main contact person, biodata)3. Potential participants ⭐Awards Young Scientist Awards Outstanding Contribution Award Outstanding Organizing Award Outstanding Reviewer Award Best Paper Award Best Student Paper Award Best Oral Presentation Award Best Poster Award ⭐Contact: Ms. Ashily X.W Qi E-mail: aeees_conference@163.com Tel: +86 13709044764 Wechat: science-engineering/18207777775"
ICFEE 2027,2027 17th International Conference on Future Environment and Energy (ICFEE 2027),83,25,2026-11-05,,,"Kyoto, Japan","Mar 26, 2027 - Mar 29, 2027",https://www.icfee.org,"Full name: 2027 17th International Conference on Future Environment and Energy (ICFEE 2027) Abbreviation: ICFEE 2027 2027 17th International Conference on Future Environment and Energy (ICFEE 2027) will be held in Kyoto, Japan during 26-29 March, 2027 Conference Website: https://www.icfee.org ICFEE 2027 Shining Points: 1. ICFEE 2027 presented and registered full papers will be included in digital conference proceedings, which will be sent to Scopus, CAS, Thomson Reuters, DOAJ, EBSCO, ProQuest and other major databases for indexing. 2. ICFEE 2026 was successfully held during 6-8 March, 2026 in Fukuoka, Japan 4. ICFEE 2026 accepted papers will be published into E3S Web of Conferences (Open Access proceedings in Environment, Energy and Earth Sciences). Previous ICFEE papers have been successfully published and indexed. Call for Papers Water Resources Management and Water Pollution Control Hydrology Physical oceanography Ground water remediation Water resources and river basin management Regulatory practice, water quality objectives standard setting, water quality classification Ground water management Atmospheric science and air pollution control Atmospheric physics Meteorology Climate and climatic changes Global warming Ozone layer depletion Carbon capture and storage Biofuels Air pollution and control Emission sources Solid Waste Pollution Control and Resource Utilization Solid waste management Waste minimization Optimization of collection systems Recycling and reuse Waste valorization Resource management Technical aspects of treatment and disposal methods (landfilling, thermal treatment etc) Leachate treatment Submission https://confsys.iconf.org/submission/icfee2027 Contact Methods E-mail: icfee@academic.net Contact number:+86-18117805914 Monday- Friday 9:30-18:00 (UTC/GMT+08:00) Conference Specialist: Ms.Echo ICFEE 2027 can provide a platform for academic communication in Future Environment and Energy. For more conference information, please visit the conference website: https://www.icfee.org"
ICACER 2027,Springer--2027 12th International Conference on Advances on Clean Energy Research (ICACER 2027),82,30,2026-11-10,,,"Porto, Portugal","Apr 9, 2027 - Apr 11, 2027",http://www.icacer.com/,"Abbreviation: ICACER 2027 Full Name: Springer--2027 12th International Conference on Advances on Clean Energy Research (ICACER 2027) Porto, Portugal April 9-11, 2027 http://www.icacer.com/ Publication: After a careful reviewing process, accepted, registered and presented papers will be published in Springer Book Series-Green Energy and Technology, which will be submitted for Ei Compendex, Scopus, et al. Call for Papers: Wind, solar, biomass and geothermal energies Ocean energy harvesting CO2 capture and storage Underground and gas-network storages Future battery technologies Green fuel/energy for mobility Sector coupling at the consumer side Network stability before/after energy transition More topics: https://icacer.com/cfp.html Agenda Overview: April 9, 2027 Registration April 10, 2027 Opening Remarks & Keynote speeches (Morning) April 10, 2027 Parallel Sessions (Afternoon) April 11, 2027 One-day Tour and Online Parallel Sessions Submission Methods: Full Paper (publication and oral presentation) Abstract (oral presentation only) Electronic Submission System (.pdf) http://confsys.iconf.org/submission/icacer2027 Email: icacer@zhconf.ac.cn Contacts: Ms. Rachel Cao Email: icacer@zhconf.ac.cn Tel: +86-13880104217"
ICEEEP 2027,2027 11th International Conference on Energy Economics and Energy Policy (ICEEEP 2027),82,30,2026-11-10,,,"Porto, Portugal","Apr 9, 2027 - Apr 11, 2027",https://www.iceeep.com/,"Abbreviation： ICEEEP 2027 Full Name: 2027 11th International Conference on Energy Economics and Energy Policy (ICEEEP 2027) Porto, Portugal April 9-11, 2027 https://www.iceeep.com/ Publication: As workshop of ""ICACER 2027"", all accepted papers after presentation will be published in the Special Chapter of ICACER Conference Proceedings, which submitted for Ei Compendex, Scopus, et al. Call for Papers: EU, US and Chinese agendas for green energy Trans-national and trans-continental energy cooperation National regulations for wind, solar, biomass and geothermal power stations Governmental incentives for green energy transitions Air pollution and transition to green energies Reserve markets and demand side flexibility Air pollution and green mobility Impact of green mobility on industry and society Political regulations of energy market(s) Energy stock-exchanges Fast online energy-trade Energy supply/demand modeling/simulation/forecasting Digitization of supply and demand sides Digitization of energy economy Influence of digitization of society on energy demand Cyber-security of national energy systems Country-vulnerability because of energy prices Inexpensive green energy for developing countries Energy behavior and demand side management Demand response and demand-side management Venue: Porto, Portugal Agenda Overview: Day 1, April 9, 2027 10:00 am--5:00 pm | Conference Check In and Materials Collection Day 2, April 10, 2027 9:00 am--12:10 pm | Opening Remarks by Conference Chair & Keynote Speeches 12:10 pm--13:30 pm | Lunch and Break Time 13:30 pm--18:00 pm | 4 Parallel Sessions for Oral/Poster Presentations and coffee break Day 3, April 11, 2027 9:00 am--6:00 pm | One day tour in Porto for onsite attendees (But participants need to make the registration by email before March 10, 2027) 9:30 am--5:30 pm | Online Parallel Sessions Submission Methods: Full Paper.pdf (publication and oral presentation) Abstract.pdf (oral presentation only) Electronic Submission System (.pdf) http://confsys.iconf.org/submission/iceeep2027 Or you could submit your paper by email directly via iceeep@zhconf.ac.cn Contacts: Ms. Eulie Feng Email: iceeep@zhconf.ac.cn Tel: +86-18208340866"
IEEE-CEECT 2026,2026 8th International Conference on Electrical Engineering and Control Technologies (CEECT 2026),72,30,2026-11-15,,,"Bangkok, Thailand","Dec 17, 2026 - Dec 20, 2026",http://www.ceect.org,"2026 8th International Conference on Electrical Engineering and Control Technologies (CEECT 2026) Bangkok, Thailand | Dec. 17–20, 2026 www.ceect.org 2026 8th International Conference on Electrical Engineering and Control Technologies (CEECT 2026) will be held in Bangkok, Thailand from Dec. 17 to 20, 2026. CEECT 2026 is organized by King Mongkut's University of Technology Thonburi (KMUTT), technically sponsored by Auckland University of Technology (AUT), South China University of Technology, Asia Pacific Institute of Science and Engineering(APISE) and IEEE AP/MTT Thailand Joint Chapter, and supported by Chongqing University, Shanghai University of Electric Power, Global Chinese Power & Energy Society, and media supported by Bjx.com.cn, JOURNAL OF XI'AN JIAOTONG UNIVERSITY and MDPI-engergies. We warmly welcome prospective authors to submit their new research or technological contributions to CEECT 2026, for sharing valuable experiences with scientists and students from around the world. The conference provides an international platform for scholars and professionals to present new research findings, share valuable experiences, and discuss emerging trends and challenges in the fields of electrical engineering, control technologies, and related areas. Authors from around the world are warmly invited to submit their original research and technological contributions. ● Publication 1)All accepted and presented papers will be submitted for inclusion into the conference proceedings, subject to meeting the publisher’s scope and quality requirements. 2) Selected papers with great extension will be recommended to publish in international journals. Past Publication & Indexing Record FOR MORE: https://ceect.org/pub.html CEECT 2025 (ISBN: 979-8-3315-5099-8) | IEEE Xplore online | EI compendex & Scopus Indexed soon CEECT 2024 (ISBN: 979-8-3315-2809-6) | IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2023 (ISBN: 979-8-3503-4225-3)| IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2022 (ISBN: 978-1-6654-9899-9)| IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2021 (ISBN 978-1-6654-4041-7)| IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2020 (ISBN 978-1-7281-9797-5 ) | IEEE Xplore online |EI compendex & Scopus Indexed CEECT 2019 (ISSN: 1757-899X)| IOP Conference Series: Materials Science and Engineering online ● Call for Papers Topics of interest include, but are not limited to: Electrical Engineering • AI Applications in Power Systems • Clean Energy Market • Energy Transformation from New Energy Systems to Power Grid • New Energy Strategy, Technology, Trends and Industrial Applications • Power Generation, Transmission and Distribution • Power Electronics, Systems, Telecommunication and Applications • Power Market Economy and Market-oriented Transactions • Reliability, Maintenance and Safety of New Energy Systems Control Technologies • Adaptive Control • Applications of PLC Technologies • Automated Guided Vehicles • Control Applications • Control of Distributed Generation Systems • Control of Smart Power Delivery Systems • Electrical Control Technology • Database and Information Systems More topics can be found at: https://ceect.org ● Submission Authors are invited to submit manuscripts through the Electronic Submission System: https://cmt3.research.microsoft.com/ICEECT2026 For submission inquiries, please contact: ceectatapise.org ● Important Dates First Round Full Paper Submission Deadline: June 15, 2026 Notification of Acceptance: July 15, 2026 Registration Deadline: Aug. 15, 2026 ● Notice Manuscripts must be written in English; The manuscript should follow the standard template; The topics of the paper should be relevant to the conference topics; Plagiarism and duplicate submission are prohibited; Innovation and scientific value are required. ● Contact Conference Secretary Ms. Aileen Zhao Tel: +86-19102815802 (Mainland China) E-mail: ceectatapise.org Website: www.ceect.org"
IEEE-CEECT 2026,2026 8th International Conference on Electrical Engineering and Control Technologies (CEECT 2026),70,28,2026-11-15,,,"Bangkok, Thailand","Dec 17, 2026 - Dec 20, 2026",http://www.ceect.org,"2026 8th International Conference on Electrical Engineering and Control Technologies (CEECT 2026) Bangkok, Thailand | Dec. 17–20, 2026 www.ceect.org 2026 8th International Conference on Electrical Engineering and Control Technologies (CEECT 2026) will be held in Bangkok, Thailand from Dec. 17 to 20, 2026. CEECT 2026 is organized by King Mongkut's University of Technology Thonburi (KMUTT), technically sponsored by Auckland University of Technology (AUT), South China University of Technology, Asia Pacific Institute of Science and Engineering(APISE) and IEEE AP/MTT Thailand Joint Chapter, and supported by Chongqing University, Shanghai University of Electric Power, Global Chinese Power & Energy Society, and media supported by Bjx.com.cn, JOURNAL OF XI'AN JIAOTONG UNIVERSITY and MDPI-engergies. We warmly welcome prospective authors to submit their new research or technological contributions to CEECT 2026, for sharing valuable experiences with scientists and students from around the world. The conference provides an international platform for scholars and professionals to present new research findings, share valuable experiences, and discuss emerging trends and challenges in the fields of electrical engineering, control technologies, and related areas. Authors from around the world are warmly invited to submit their original research and technological contributions. ● Publication 1)All accepted and presented papers will be submitted for inclusion into the conference proceedings, subject to meeting the publisher’s scope and quality requirements. 2) Selected papers with great extension will be recommended to publish in international journals. Past Publication & Indexing Record FOR MORE: https://ceect.org/pub.html CEECT 2025 (ISBN: 979-8-3315-5099-8) | IEEE Xplore online | EI compendex & Scopus Indexed soon CEECT 2024 (ISBN: 979-8-3315-2809-6) | IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2023 (ISBN: 979-8-3503-4225-3)| IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2022 (ISBN: 978-1-6654-9899-9)| IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2021 (ISBN 978-1-6654-4041-7)| IEEE Xplore online | EI compendex & Scopus Indexed CEECT 2020 (ISBN 978-1-7281-9797-5 ) | IEEE Xplore online |EI compendex & Scopus Indexed ... ● Call for Papers Topics of interest include, but are not limited to: Electrical Engineering • AI Applications in Power Systems • Clean Energy Market • Energy Transformation from New Energy Systems to Power Grid • New Energy Strategy, Technology, Trends and Industrial Applications • Power Generation, Transmission and Distribution • Power Electronics, Systems, Telecommunication and Applications • Power Market Economy and Market-oriented Transactions • Reliability, Maintenance and Safety of New Energy Systems Control Technologies • Adaptive Control • Applications of PLC Technologies • Automated Guided Vehicles • Control Applications • Control of Distributed Generation Systems • Control of Smart Power Delivery Systems • Electrical Control Technology • Database and Information Systems More topics can be found at: https://ceect.org ● Submission Authors are invited to submit manuscripts through the Electronic Submission System: https://cmt3.research.microsoft.com/ICEECT2026 For submission inquiries, please contact: ceectatapise.org ● Important Dates First Round Full Paper Submission Deadline: June 15, 2026 Notification of Acceptance: July 15, 2026 Registration Deadline: Aug. 15, 2026 ● Notice Manuscripts must be written in English; The manuscript should follow the standard template; The topics of the paper should be relevant to the conference topics; Plagiarism and duplicate submission are prohibited; Innovation and scientific value are required. ● Contact Conference Secretary Ms. Aileen Zhao Tel: +86-19102815802 (Mainland China) E-mail: ceectatapise.org Website: www.ceect.org"
AMEE 2027,2027 9th International Conference on Advanced Mechanical and Electrical Engineering (AMEE 2027),72,30,2026-12-10,,,"Haikou, China","May 21, 2027 - May 23, 2027",https://www.amee.net,"★Full name: 2027 9th International Conference on Advanced Mechanical and Electrical Engineering (AMEE 2027) ★Abbreviation: AMEE 2027 ★Website: https://www.amee.net/ ★Date: May 21-23, 2027 ★Held in: Haikou, China ★Sponsored By: Hainan University ★Hosted By: Mechanical and Electrical Engineering College ★Publication★ Submitted papers will be Peer Reviewed (Double Blind) and the accepted ones will be collected in the conference proceedings, which submitted to indexers Ei Compendex, Scopus etc. major databases. ★Call for papers★ Topics of interest for submission include, but are not limited to: Track 1: AI-Driven Mechanical Design Track 2: Smart Manufacturing Systems Track 3: Sustainable Mechanical Engineering Track 4: Advanced Robotics & Mechatronics Track 5: Power Electronics & Drives Track 6: Electrical Machines & Magnetic Systems Track 7: Quantum Electrical Engineering Track 8: Renewable Power Conversion Track 9: Green Energy Machinery More Topics, please visit at: https://www.amee.net/cfp.html ★Submission★ * Abstract (Presentation only) * Full paper (Presentation & Publication) * Submitted papers should be written in complete English. * Submitted full papers should be prepared according to the paper template and no less than 4 full pages and no more than 10 full pages. Word Template: https://www.amee.net/template.docx LaTex Template: https://www.amee.net/latex-template.zip ★Please submit the paper by Electronic Submission System at: https://www.zmeeting.org/submission/amee2027 More details about submission, please visit at: https://www.amee.net/sub.html ★Conference History★ AMEE 2025 | October 24-26, 2025 | Xi'an, China AMEE 2024 | October 25-27, 2024 | Wuhu, China AMEE 2023 | November 3-5, 2023 | Suzhou, China AMEE 2022 | October 28-30, 2022 | Changchun, China AMEE 2021 | November 4-6, 2021 | Wuhan, China AMEE 2020 | November 5-8, 2020 | Full Virtual Style AMEE 2019 | November 16-18, 2019 | Lanzhou China AMEE 2018 | December 26-28, 2018 | Beijing, China ★Conference Schedule★ May 21, 2027 (Friday) | Onsite registration May 22, 2027 (Saturday) | Keynote speeches and parallel session for oral presentation May 23, 2027 (Sunday) | Invited Speeches and Parallel Session for Oral Presentation ★Conference Venue★ International Academic Exchange Center Hainan University Address: NO. 58 Renmin Avenue, Meilan District, Haikou, Hainan 570228 More detail information please click: https://www.amee.net/venue.html ★Contact★ Conference Secretary: Ms. Michelle Lee Email: amee_conf@yeah.net Wechat ID: asr2020217 Tel: +86-13709044746"
